Dataset,nVar,Year,Month,Prec,Tavg,Tmin,Tmax
Princeton,1,2018,8,56.8318688906699,22.896,19.103,27.142
Princeton,1,2018,9,41.897940065985,23.853,19.325,28.707
Princeton,1,2018,10,25.3275092115269,24.519,19.652,29.728
Princeton,1,2018,11,131.046121685502,26.082,21.648,30.916
Princeton,1,2018,12,79.8562606807814,26.276,21.82,31.092
Princeton,1,2019,1,17.6554733840007,26.213,21.727,31.631
Princeton,1,2019,2,3.57914121808649,26.651,22.038,32.216
Princeton,1,2019,3,131.932323889679,27.333,23.015,32.134
Princeton,1,2019,4,300.203920973986,25.795,21.797,30.304
Princeton,1,2019,5,134.106375531595,24.361,20.886,28.393
Princeton,1,2019,6,78.8593752072231,23.342,19.462,27.655
Princeton,1,2019,7,36.7099489995745,23.105,19.176,27.672
Princeton,1,2019,8,55.0263340827177,22.776,18.677,27.246
Princeton,1,2019,9,21.9633567124575,23.395,18.785,28.396
Princeton,1,2019,10,46.5540548341706,25.01,20.234,30.175
Princeton,1,2019,11,120.51855276962,25.882,22.411,29.443
Princeton,1,2019,12,67.0999298760989,25.48,21.339,29.908
Princeton,1,2020,1,2.19343577560184,27.043,22.147,32.636
Princeton,1,2020,2,75.303206421655,27.579,22.761,32.75
Princeton,1,2020,3,19.4108848870935,27.4,22.311,32.888
Princeton,1,2020,4,99.4545189517481,26.704,22.294,31.422
Princeton,1,2020,5,28.4541325785579,25.924,22.236,30.285
Princeton,1,2020,6,36.4804727540881,24.333,20.451,28.971
Princeton,1,2020,7,117.864882510368,23.524,19.97,27.676
Princeton,1,2020,8,29.2445251501845,23.395,19.724,27.595
Princeton,1,2020,9,221.358114724452,23.805,19.917,28.025
Princeton,1,2020,10,112.929748404602,24.891,20.881,29.172
Princeton,1,2020,11,222.129229428478,25.662,22.004,29.528
Princeton,1,2020,12,109.074174884472,26.614,22.548,30.867
Princeton,1,2021,1,1.9661395734976,26.842,22.069,32.346
Princeton,1,2021,2,34.8759694132968,27.451,22.834,33.031
Princeton,1,2021,3,17.7600969346469,27.5,23.419,31.975
Princeton,1,2021,4,79.9559940492617,27.257,23.235,31.892
Princeton,1,2021,5,365.241800344841,25.153,21.712,29.093
