Id,dataset,K,nclim,prio,alpha,rel_dom,rel_irr,rel_eco,crel_dom,crel_irr,crel_eco
637,Princeton,120,107,1,0.5,95,94.1666666666667,98,97.1268951913993,93.3444969651965,98.7051282051282
638,Princeton,120,107,1,0.9,94.5,94.1666666666667,97.1666666666667,97.2675608719938,92.7179741109191,99.5861538461539
639,Princeton,120,107,2,0.5,95.3333333333333,94.1666666666667,97.1666666666667,97.2291341933077,93.3444969651965,97.5957039587782
640,Princeton,120,107,2,0.9,94.5,94.1666666666667,96.8333333333333,97.5071808035263,92.7179741109191,96.9859703839849
641,Princeton,120,107,3,0.5,95.3333333333333,94.3333333333333,96.6666666666667,97.2291341933077,93.6507843011049,96.4187877582306
642,Princeton,120,107,3,0.9,94.5,94.3333333333333,96.6666666666667,97.5071808035263,92.9022012350675,96.278073381494
643,Princeton,120,108,1,0.5,94.5,93.8333333333333,98,96.9100922570644,92.9343760359769,98.7051282051282
644,Princeton,120,108,1,0.9,94.1666666666667,93.8333333333333,96.6666666666667,97.0488702674108,92.3436490356424,99.5074358974359
645,Princeton,120,108,2,0.5,95,93.8333333333333,96.8333333333333,97.0472062306515,92.9343760359769,97.2172658045628
646,Princeton,120,108,2,0.9,94.1666666666667,93.8333333333333,96.5,97.2884783130296,92.3436490356424,96.9073814126694
647,Princeton,120,108,3,0.5,95,94,96.3333333333333,97.0472062306515,93.2170603934928,96.1126952106685
648,Princeton,120,108,3,0.9,94.1666666666667,94,96.3333333333333,97.2884783130296,92.6931718421506,95.5416439613401
649,Princeton,120,109,1,0.5,57.6666666666667,54.8333333333333,80.6666666666667,73.7046458686455,61.5716693674114,87.2634278251233
650,Princeton,120,109,1,0.9,55.3333333333333,54.8333333333333,73.1666666666667,74.7780797286961,56.7011788833721,95.7793657035712
651,Princeton,120,109,2,0.5,58.6666666666667,54.8333333333333,73.8333333333333,74.9004321281155,61.5716693674114,74.2876138505673
652,Princeton,120,109,2,0.9,55.3333333333333,54.8333333333333,72,77.1477466101552,56.7011788833721,70.0654420052764
653,Princeton,120,109,3,0.5,58.6666666666667,55.8333333333333,71.5,74.9004321281155,62.9366784610305,68.6364087011613
654,Princeton,120,109,3,0.9,55.3333333333333,55,71.5,77.1477466101552,58.3791756917506,63.1184522390373
655,Princeton,120,110,1,0.5,56.6666666666667,54.1666666666667,80.5,73.1612419814897,60.7395322010136,86.8647392421101
656,Princeton,120,110,1,0.9,55,54.1666666666667,72.6666666666667,74.2534343401238,55.8311435364987,95.6648063629632
657,Princeton,120,110,2,0.5,58.3333333333333,54.1666666666667,73,74.377615887159,60.7395322010136,73.6655229118734
658,Princeton,120,110,2,0.9,55,54.1666666666667,71.6666666666667,76.6759923757755,55.8311435364987,69.3769458325066
659,Princeton,120,110,3,0.5,58.3333333333333,55.1666666666667,70.8333333333333,74.377615887159,62.1357123413412,67.7911777023067
660,Princeton,120,110,3,0.9,55,54.5,70.8333333333333,76.6759923757755,57.6067947268618,61.9059986655293
661,Princeton,120,111,1,0.5,55.8333333333333,53.6666666666667,80,72.5457153515311,60.1427595235711,86.4898135179373
662,Princeton,120,111,1,0.9,54,53.6666666666667,72.3333333333333,73.6801555599314,55.1366986057695,95.5836016960216
663,Princeton,120,111,2,0.5,57.6666666666667,53.6666666666667,72.1666666666667,73.8026521865678,60.1427595235711,72.8504374003088
664,Princeton,120,111,2,0.9,54.3333333333333,53.6666666666667,70.8333333333333,76.1652211901355,55.1366986057695,68.61745362673
665,Princeton,120,111,3,0.5,57.6666666666667,54.5,70.5,73.8026521865678,61.4916785844114,67.0829977731884
666,Princeton,120,111,3,0.9,54.3333333333333,54.1666666666667,70.5,76.1652211901355,56.8151039097053,61.4412623033912
667,Princeton,120,112,1,0.5,55.6666666666667,52.5,79.8333333333333,72.0591649242257,59.2168788276654,86.2332792372717
668,Princeton,120,112,1,0.9,52.8333333333333,52.5,71.6666666666667,73.1314729643026,54.4172164405219,95.4499873892844
669,Princeton,120,112,2,0.5,57.1666666666667,52.5,72.1666666666667,73.3583513993889,59.2168788276654,72.1354403580648
670,Princeton,120,112,2,0.9,53.3333333333333,52.5,70.1666666666667,75.6537836324005,54.4172164405219,68.0796829087958
671,Princeton,120,112,3,0.5,57.1666666666667,53.3333333333333,70,73.3583513993889,60.6057615556431,66.1012970048672
672,Princeton,120,112,3,0.9,53.3333333333333,52.6666666666667,70,75.6537836324005,56.076291739195,60.8716602411662
673,Princeton,120,113,1,0.5,55.1666666666667,52,79.5,71.517185271137,58.4375158444802,86.0648075004523
674,Princeton,120,113,1,0.9,52.3333333333333,52,71.1666666666667,72.7065525067127,53.4128149833534,95.3389265454032
675,Princeton,120,113,2,0.5,56.3333333333333,52,72,72.839420387619,58.4375158444802,71.716861313396
676,Princeton,120,113,2,0.9,52.3333333333333,52,70,75.2563282148434,53.4128149833534,67.6705911689701
677,Princeton,120,113,3,0.5,56.3333333333333,52.8333333333333,69.6666666666667,72.839420387619,59.8465221223481,65.4971574251315
678,Princeton,120,113,3,0.9,52.3333333333333,52,69.6666666666667,75.2563282148434,55.1387027536608,60.0520936190993
679,Princeton,120,114,1,0.5,54.1666666666667,51.5,79.1666666666667,70.9695019312256,57.737112670925,85.7908892689527
680,Princeton,120,114,1,0.9,51.6666666666667,51.5,70.1666666666667,72.3081055949061,52.413453222554,95.1395304130668
681,Princeton,120,114,2,0.5,55.1666666666667,51.5,71.3333333333333,72.3171218262872,57.737112670925,71.1674856897193
682,Princeton,120,114,2,0.9,51.8333333333333,51.5,69.5,74.8912135256212,52.413453222554,67.1094976879738
683,Princeton,120,114,3,0.5,55.1666666666667,51.8333333333333,69.5,72.3171218262872,59.1318551980103,64.9126956902815
684,Princeton,120,114,3,0.9,51.8333333333333,51.5,69.5,74.8912135256212,54.1335468107523,59.3956551940165
685,Princeton,120,115,1,0.5,66.1666666666667,63.6666666666667,86.5,79.3408039427834,68.0114086710801,91.1659148509213
686,Princeton,120,115,1,0.9,64.3333333333333,63.6666666666667,79.3333333333333,80.3817765526089,63.8069924742642,96.9755317286779
687,Princeton,120,115,2,0.5,66.8333333333333,63.6666666666667,79.8333333333333,80.267519079258,68.0114086710801,81.1098675238428
