"Mwache Weap verificaiton run (Oct 17, 2014) with Mwache_4_14_test all units are in cubic meters per month // Single user system",,,,,,,,
Year,Month,Date,Inflow,Nevap,Rel_Flood, Demand,Supply,Storage
2035,3,Mar-35,4129520,366595,0,6579657,6579657,55489270
2035,4,Apr-35,10885400,119483,0,6367410,6367410,59887778
2035,5,May-35,8631060,-62457,0,6579657,6579657,62001638
2035,6,Jun-35,3920050,138491,0,6367410,6367410,59415787
2035,7,Jul-35,4342640,122198,0,6579657,6579657,57056572
2035,8,Aug-35,4141600,200948,0,6579657,6579657,54417567
2035,9,Sep-35,4251550,282414,0,6367410,6367410,52019294
2035,10,Oct-35,2478570,209095,0,6579657,6579657,47709113
2035,11,Nov-35,2287880,90000,0,6367410,6367410,43539583
2035,12,Dec-35,3799480,176000,0,6579657,6579657,40583406
2036,1,Jan-36,1452930,264000,0,6579657,6579657,35192679
2036,2,Feb-36,1259110,336000,0,5942916,5942916,30172873
2036,3,Mar-36,5153260,245718,0,6579657,6579657,28500758
2036,4,Apr-36,2736250,66000,0,6367410,6367410,24803598
2036,5,May-36,6398620,-34500,0,6579657,6579657,24657061
2036,6,Jun-36,6809220,76500,0,6367410,6367410,25022371
2036,7,Jul-36,3344420,67500,0,6579657,6579657,21719634
2036,8,Aug-36,2356000,111000,0,6579657,3448398,20516236
2036,9,Sep-36,2592320,156000,0,6367410,2797400,20155156
2036,10,Oct-36,1588400,115500,0,6579657,1581300,20046757
2036,11,Nov-36,1949700,67500,0,6367410,1914700,20014257
2036,12,Dec-36,2333550,132000,0,6579657,2211300,20004507
2037,1,Jan-37,18813700,198000,0,6579657,6579657,32040551
2037,2,Feb-37,4876570,336000,0,5942916,5942916,30638206
2037,3,Mar-37,2073770,270000,0,6579657,6579657,25862319
2037,4,Apr-37,1785070,66000,0,6367410,5822100,21759289
2037,5,May-37,19456300,-34500,0,6579657,6579657,34670432
2037,6,Jun-37,2712430,102000,0,6367410,6367410,30913452
2037,7,Jul-37,3089300,90000,0,6579657,6579657,27333095
2037,8,Aug-37,4509940,111000,0,6579657,6579657,25152379
2037,9,Sep-37,10124100,156000,0,6367410,6367410,28753069
2037,10,Oct-37,18741000,115500,0,6579657,6579657,40798913
2037,11,Nov-37,18929100,90000,0,6367410,6367410,53270603
